ANO_ADESAO;COD_ESC;CODSIT;DEPADM;NOMEDEP;CODREG;CHAVE;CDREDE;COD_DIR;DE;DRE;CODDIST;DISTR;CODMUN;MUN;TIPOESC;DESCRICAO_TIPO_ESCOLA;COD_UNID_ADM;CODESCMEC;CODESC;NOMESC;ENDESC;NUMESC;COMPLEND;BAIESC;CODCEP;COMPCEP;DDD;FONE1;FONE2;EMAIL;ZONA;DESCRICAO_ZONA;DS_LONGITUDE;DS_LATITUDE;CARGA_HORARIA
2022;31045;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;2;ADAMANTINA;150;ADAMANTINA;8;EE;44523;35031045;31045;DURVALINO GRION PROF;NOEMIA RAMAZINI DE OLIVEIRA;36;RUA;VILA INDUSTRIAL;17800;0;18;35213366;35213434;E031045A@EDUCACAO.SP.GOV.BR;1;URBANA;-51,07690048;-21,67860031;9 HORAS
2022;31112;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;2;ADAMANTINA;150;ADAMANTINA;8;EE;44531;35031112;31112;FLEURIDES CAVALLINI MENECHINO PROFA;VITORIO ROMANINI;99;RUA;VILA CICMA;17800;0;18;35212650;35213231;E031112A@EDUCACAO.SP.GOV.BR;1;URBANA;-51,0703392;-21,69277;9 HORAS
2020;30806;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;2;ADAMANTINA;150;ADAMANTINA;8;EE;44525;35030806;30806;HELEN KELLER;MARIO OLIVERO;122;RUA;VILA CICMA;17800;0;18;35212492;35215461;E030806A@EDUCACAO.SP.GOV.BR;1;URBANA;-51,06887817;-21,69298935;9 HORAS
2014;31264;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;144;DRACENA;292;DRACENA;8;EE;44571;35031264;31264;9 DE JULHO;OITO DEZEMBRO;719;RUA;JARDIM VERA CRUZ;17900;0;18;38211813;NULL;E031264A@EDUCACAO.SP.GOV.BR;1;URBANA;-51,52502105;-21,48951565;9 HORAS
2021;911173;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;144;DRACENA;292;DRACENA;8;EE;79292;35911173;911173;ALFREDO MACHADO;OTO LARA RESENDE;21;RUA;BAIRRO JARDIM BRASILANDIA;17900;0;18;38215063;NULL;E911173A@EDUCACAO.SP.GOV.BR;1;URBANA;-51,55381012;-21,49072075;9 HORAS
2021;31276;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;144;DRACENA;292;DRACENA;8;EE;44564;35031276;31276;ISAC PEREIRA GARCEZ ENG;VENDRAMIM;92;RUA;CENTRO;17900;0;18;38211131;38215942;E031276A@EDUCACAO.SP.GOV.BR;1;URBANA;-51,53144073;-21,48459053;9 HORAS
2022;30910;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;160;FLORIDA PAULISTA;308;FLORIDA PAULISTA;8;EE;44533;35030910;30910;PERCIO GOMES GONZALES DR;AUGUSTO ROQUE;1254;AVENIDA;CENTRO;17830;0;18;35811065;35811166;E030910A@EDUCACAO.SP.GOV.BR;1;URBANA;-51,1681366;-21,61310387;7 HORAS
2022;31598;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;208;INUBIA PAULISTA;356;INUBIA PAULISTA;8;EE;44611;35031598;31598;IRALDO ANTONIO MARTINS DE TOLEDO;PEDRO ANTONIO GOMES;502;RUA;CENTRO;17760;0;18;35561245;NULL;E031598A@EDUCACAO.SP.GOV.BR;1;URBANA;-50,96021652;-21,76921654;9 HORAS
2022;30958;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;216;IRAPURU;364;IRAPURU;8;EE;44538;35030958;30958;JOSE EDSON MOYSES PROF;ALBERTO GALETI;29;AVENIDA;CENTRO;17880;0;18;38611176;38611378;E030958A@EDUCACAO.SP.GOV.BR;1;URBANA;-51,35471725;-21,56727028;9 HORAS
2015;31306;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;260;JUNQUEIROPOLIS;408;JUNQUEIROPOLIS;8;EE;44581;35031306;31306;GERALDO PECORARI PROF;DUQUE DE CAXIAS;151;PRACA;CENTRO;17890;0;18;38411333;38413221;E031306A@EDUCACAO.SP.GOV.BR;1;URBANA;-51,43960953;-21,5152607;9 HORAS
2022;31525;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;260;JUNQUEIROPOLIS;408;JUNQUEIROPOLIS;8;EE;44577;35031525;31525;IDENE RODRIGUES DOS SANTOS PROF;CAMPOS SALLES;899;;CENTRO;17890;0;18;38411530;38411628;E031525A@EDUCACAO.SP.GOV.BR;1;URBANA;-51,42837143;-21,51226044;7 HORAS
